#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm.
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                  AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999"
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "002_NACA0012_AE3932_01"
FILETYPE = FULL
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
 I=1, J=1, K=1, DATAPACKING=POINT
-999.00000 -999.00000 -999.00000
ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_SINGLE_LAYER"
 I=261, J=1, K=1, DATAPACKING=POINT
0.53086 0.91440 -0.02868
0.52843 0.91440 -0.02885
0.52453 0.91440 -0.02911
0.51931 0.91440 -0.02946
0.51410 0.91440 -0.02980
0.50888 0.91440 -0.03013
0.50365 0.91440 -0.03045
0.49843 0.91440 -0.03077
0.49321 0.91440 -0.03107
0.48799 0.91440 -0.03137
0.48277 0.91440 -0.03166
0.47754 0.91440 -0.03195
0.47232 0.91440 -0.03223
0.46710 0.91440 -0.03250
0.46187 0.91440 -0.03276
0.45665 0.91440 -0.03302
0.45142 0.91440 -0.03327
0.44620 0.91440 -0.03351
0.44098 0.91440 -0.03374
0.43575 0.91440 -0.03397
0.43052 0.91440 -0.03420
0.42530 0.91440 -0.03441
0.42007 0.91440 -0.03462
0.41484 0.91440 -0.03482
0.40962 0.91440 -0.03502
0.40439 0.91440 -0.03521
0.39916 0.91440 -0.03539
0.39394 0.91440 -0.03556
0.38871 0.91440 -0.03573
0.38348 0.91440 -0.03589
0.37825 0.91440 -0.03605
0.37302 0.91440 -0.03620
0.36779 0.91440 -0.03634
0.36257 0.91440 -0.03647
0.35734 0.91440 -0.03660
0.35211 0.91440 -0.03672
0.34688 0.91440 -0.03683
0.34165 0.91440 -0.03693
0.33642 0.91440 -0.03703
0.33119 0.91440 -0.03712
0.32596 0.91440 -0.03720
0.32073 0.91440 -0.03727
0.31550 0.91440 -0.03733
0.31027 0.91440 -0.03739
0.30504 0.91440 -0.03743
0.29981 0.91440 -0.03747
0.29458 0.91440 -0.03750
0.28935 0.91440 -0.03752
0.28412 0.91440 -0.03753
0.27889 0.91440 -0.03753
0.27366 0.91440 -0.03752
0.26843 0.91440 -0.03750
0.26320 0.91440 -0.03746
0.25796 0.91440 -0.03742
0.25273 0.91440 -0.03736
0.24750 0.91440 -0.03730
0.24227 0.91440 -0.03722
0.23705 0.91440 -0.03712
0.23182 0.91440 -0.03702
0.22659 0.91440 -0.03690
0.22136 0.91440 -0.03677
0.21613 0.91440 -0.03662
0.21090 0.91440 -0.03646
0.20567 0.91440 -0.03628
0.20045 0.91440 -0.03608
0.19522 0.91440 -0.03587
0.19000 0.91440 -0.03564
0.18477 0.91440 -0.03539
0.17955 0.91440 -0.03513
0.17432 0.91440 -0.03484
0.16910 0.91440 -0.03454
